minute_of_day,et_time,real_close,real_pct_vs_07_00,real_anchor_close,shifted_close,shifted_pct_vs_07_00,shifted_anchor_close
240,04:00,125.48,2.149,122.84,111.59,-0.879,112.58
245,04:05,125.14,1.872,122.84,111.67,-0.808,112.58
250,04:10,124.96,1.726,122.84,111.43,-1.021,112.58
255,04:15,124.9,1.677,122.84,111.93,-0.577,112.58
260,04:20,124.96,1.726,122.84,112.03,-0.489,112.58
265,04:25,125.1,1.84,122.84,112.74,0.142,112.58
270,04:30,124.23,1.132,122.84,112.42,-0.142,112.58
275,04:35,124.18,1.091,122.84,112.48,-0.089,112.58
280,04:40,124.24,1.14,122.84,112.6,0.018,112.58
285,04:45,124.14,1.058,122.84,112.1,-0.426,112.58
290,04:50,124.04,0.977,122.84,112.28,-0.266,112.58
295,04:55,123.78,0.765,122.84,112.82,0.213,112.58
300,05:00,123.6,0.619,122.84,112.89,0.275,112.58
305,05:05,123.25,0.334,122.84,113.41,0.737,112.58
310,05:10,122.58,-0.212,122.84,113.58,0.888,112.58
315,05:15,122.32,-0.423,122.84,113.19,0.542,112.58
320,05:20,122.9,0.049,122.84,113.48,0.799,112.58
325,05:25,123.21,0.301,122.84,113.78,1.066,112.58
330,05:30,123.5,0.537,122.84,113.71,1.004,112.58
335,05:35,123.71,0.708,122.84,113.56,0.87,112.58
340,05:40,123.57,0.594,122.84,112.95,0.329,112.58
345,05:45,123.47,0.513,122.84,112.9,0.284,112.58
350,05:50,123.34,0.407,122.84,112.78,0.178,112.58
355,05:55,123.2,0.293,122.84,112.61,0.027,112.58
360,06:00,123.45,0.497,122.84,112.83,0.222,112.58
365,06:05,123.51,0.545,122.84,112.33,-0.222,112.58
370,06:10,123.34,0.407,122.84,111.63,-0.844,112.58
375,06:15,123.26,0.342,122.84,111.57,-0.897,112.58
380,06:20,123.58,0.602,122.84,111.99,-0.524,112.58
385,06:25,123.55,0.578,122.84,112.25,-0.293,112.58
390,06:30,122.93,0.073,122.84,112.37,-0.187,112.58
395,06:35,123.18,0.277,122.84,112.17,-0.364,112.58
400,06:40,122.76,-0.065,122.84,112.37,-0.187,112.58
405,06:45,122.26,-0.472,122.84,112.76,0.16,112.58
410,06:50,122.61,-0.187,122.84,112.59,0.009,112.58
415,06:55,122.77,-0.057,122.84,112.58,0.0,112.58
420,07:00,122.84,0.0,122.84,112.58,0.0,112.58
425,07:05,113.05,-7.97,122.84,112.59,0.009,112.58
430,07:10,109.97,-10.477,122.84,112.66,0.071,112.58
435,07:15,111.38,-9.329,122.84,112.55,-0.027,112.58
440,07:20,112.89,-8.1,122.84,112.66,0.071,112.58
445,07:25,112.9,-8.092,122.84,112.88,0.266,112.58
450,07:30,112.2,-8.662,122.84,112.58,0.0,112.58
455,07:35,113.13,-7.905,122.84,112.77,0.169,112.58
460,07:40,113.65,-7.481,122.84,113.21,0.56,112.58
465,07:45,113.71,-7.432,122.84,112.88,0.266,112.58
470,07:50,114.19,-7.042,122.84,113.46,0.782,112.58
475,07:55,115.26,-6.171,122.84,113.22,0.568,112.58
480,08:00,115.64,-5.86,122.84,113.43,0.755,112.58
485,08:05,115.36,-6.089,122.84,113.64,0.942,112.58
490,08:10,115.14,-6.264,122.84,114.0,1.261,112.58
495,08:15,114.11,-7.107,122.84,114.13,1.376,112.58
500,08:20,113.99,-7.204,122.84,114.1,1.35,112.58
505,08:25,114.15,-7.07,122.84,113.88,1.154,112.58
510,08:30,113.82,-7.343,122.84,114.31,1.537,112.58
515,08:35,113.62,-7.506,122.84,114.43,1.646,112.58
520,08:40,111.63,-9.122,122.84,114.42,1.634,112.58
525,08:45,110.52,-10.029,122.84,114.65,1.839,112.58
530,08:50,111.49,-9.243,122.84,114.17,1.412,112.58
535,08:55,111.44,-9.282,122.84,114.39,1.608,112.58
540,09:00,111.18,-9.492,122.84,114.06,1.315,112.58
545,09:05,111.29,-9.401,122.84,114.92,2.079,112.58
550,09:10,112.39,-8.506,122.84,114.54,1.741,112.58
570,09:30,112.97,-8.035,122.84,114.97,2.127,112.58
575,09:35,111.93,-8.886,122.84,115.09,2.23,112.58
580,09:40,111.59,-9.158,122.84,115.45,2.549,112.58
585,09:45,110.57,-9.989,122.84,115.19,2.318,112.58
590,09:50,110.97,-9.663,122.84,115.15,2.283,112.58
595,09:55,111.05,-9.598,122.84,114.73,1.912,112.58
600,10:00,110.18,-10.306,122.84,114.02,1.279,112.58
605,10:05,110.51,-10.033,122.84,113.97,1.235,112.58
610,10:10,110.87,-9.744,122.84,113.96,1.221,112.58
615,10:15,110.35,-10.168,122.84,114.12,1.368,112.58
620,10:20,110.06,-10.404,122.84,114.23,1.466,112.58
625,10:25,111.46,-9.264,122.84,114.28,1.51,112.58
630,10:30,111.43,-9.293,122.84,114.25,1.483,112.58
635,10:35,111.71,-9.061,122.84,114.79,1.963,112.58
640,10:40,112.34,-8.548,122.84,114.48,1.691,112.58
645,10:45,111.57,-9.175,122.84,114.51,1.714,112.58
650,10:50,111.67,-9.094,122.84,113.76,1.048,112.58
655,10:55,111.23,-9.451,122.84,113.63,0.933,112.58
660,11:00,108.07,-12.023,122.84,113.35,0.684,112.58
665,11:05,107.39,-12.577,122.84,113.76,1.048,112.58
670,11:10,106.92,-12.96,122.84,113.85,1.124,112.58
675,11:15,108.2,-11.918,122.84,114.12,1.368,112.58
680,11:20,107.75,-12.284,122.84,113.58,0.888,112.58
685,11:25,108.36,-11.788,122.84,113.53,0.844,112.58
690,11:30,108.3,-11.837,122.84,113.87,1.146,112.58
