minute_offset,median,p25,p75,p10,p90,n_windows
-60,-0.0496,-0.4636,0.3944,-1.0802,1.0185,455
-55,-0.0188,-0.385,0.4016,-0.9723,1.0018,458
-50,-0.0109,-0.3736,0.3558,-0.9501,0.9729,458
-45,-0.0128,-0.3641,0.3282,-0.8875,0.9764,459
-40,-0.0128,-0.3323,0.298,-0.7458,0.8614,456
-35,-0.0122,-0.3196,0.2973,-0.6865,0.7849,461
-30,-0.0278,-0.2453,0.2409,-0.6584,0.7067,462
-25,0.0,-0.2474,0.2678,-0.6628,0.6319,468
-20,-0.0086,-0.2079,0.2173,-0.5132,0.5877,469
-15,-0.0132,-0.1866,0.1809,-0.4713,0.4728,477
-10,-0.0119,-0.1686,0.1553,-0.3717,0.3699,484
-5,0.0,-0.1017,0.1287,-0.2692,0.309,493
0,0.0,0.0,0.0,0.0,0.0,499
5,-0.0128,-0.1194,0.1066,-0.2708,0.264,495
10,0.0,-0.1568,0.1553,-0.388,0.4171,491
15,0.0129,-0.1884,0.202,-0.4775,0.4625,486
20,0.0,-0.2029,0.2162,-0.533,0.5433,485
25,0.0024,-0.2189,0.234,-0.6098,0.5986,481
30,0.0174,-0.2626,0.2507,-0.7002,0.6759,478
35,0.0152,-0.2832,0.3062,-0.8336,0.7519,479
40,0.0242,-0.2743,0.3344,-0.866,0.7952,470
45,0.0197,-0.3137,0.3482,-0.9192,0.7918,473
50,0.0744,-0.3491,0.3675,-0.9759,0.8161,467
55,0.0551,-0.399,0.3858,-1.102,0.8746,470
60,0.0817,-0.3743,0.3822,-1.1278,0.9313,465
