topic,topic_label,asset,signal,subset,n_events,pre_mean,placebo_mean,delta_vs_placebo,p_fdr_trim,fdr_passed
energy_oil,Energy / Oil,XLE,OFI_bvc,initiated,165,0.048342476216793,0.01114882019181924,0.037193656024973765,7.305042256039103e-11,True
energy_oil,Energy / Oil,XLE,vpin_z,initiated,165,-0.5937454683577623,-0.02639484233106226,-0.5673506260267001,3.835387333342449e-12,True
energy_oil,Energy / Oil,USO,signed_vol_tick,initiated,147,-69786.80952380953,-2017.865876250463,-67768.94364755906,0.0456,True
energy_oil,Energy / Oil,USO,vpin_z,initiated,147,0.3798526915775937,0.056483427189287776,0.32336926438830593,1.3091586775402288e-05,True
energy_oil,Energy / Oil,XOM,signed_vol_tick,initiated,167,342721.6886227545,-14885.739925373135,357607.4285481276,0.0001293782226277,True
energy_oil,Energy / Oil,XOM,OFI_bvc,initiated,167,0.0327733431756597,0.005004523584399375,0.027768819591260326,0.0016703296703296,True
energy_oil,Energy / Oil,XOM,vpin_z,initiated,167,-0.4025447657901865,-0.026508231530289195,-0.3760365342598973,5.699157708399204e-06,True
energy_oil,Energy / Oil,CVX,signed_vol_tick,initiated,166,164869.39156626505,145.61618798955612,164723.7753782755,6.275939836051495e-07,True
energy_oil,Energy / Oil,CVX,OFI_bvc,initiated,166,0.0383970729385493,0.004452691475015773,0.03394438146353353,3.935189815113454e-08,True
energy_oil,Energy / Oil,CVX,vpin_z,initiated,166,-0.2590708668097665,0.05034189055049552,-0.309412757360262,0.0029230769230769,True
