date_et,uso_close
2026-01-26,73.4800033569336
2026-01-27,75.66000366210938
2026-01-28,76.62550354003906
2026-01-29,79.13999938964844
2026-01-30,79.52999877929688
2026-02-02,75.33000183105469
2026-02-03,77.4749984741211
2026-02-04,77.86000061035156
2026-02-05,76.69999694824219
2026-02-06,76.98500061035156
2026-02-09,78.0250015258789
2026-02-10,78.01000213623047
2026-02-11,78.9000015258789
2026-02-12,76.36000061035156
2026-02-13,76.22000122070312
2026-02-17,75.69999694824219
2026-02-18,79.41000366210938
2026-02-19,81.20999908447266
2026-02-20,80.83999633789062
2026-02-23,80.9000015258789
2026-02-24,80.76000213623047
2026-02-25,79.69999694824219
2026-02-26,79.77999877929688
2026-02-27,81.93000030517578
2026-03-02,87.18099975585938
2026-03-03,90.18000030517578
2026-03-04,91.54000091552734
2026-03-05,96.33999633789062
2026-03-06,108.91999816894531
2026-03-09,104.23999786376953
2026-03-10,105.94999694824219
2026-03-11,108.04989624023438
2026-03-12,118.37000274658203
2026-03-13,119.87999725341797
2026-03-16,115.0199966430664
2026-03-17,118.83999633789062
2026-03-18,121.62999725341797
2026-03-19,117.37000274658203
2026-03-20,121.44000244140625
2026-03-23,110.52999877929688
2026-03-24,114.53500366210938
2026-03-25,113.38999938964844
2026-03-26,117.30000305175781
2026-03-27,124.16999816894531
2026-03-30,129.8350067138672
2026-03-31,127.24500274658203
2026-04-01,124.0999984741211
2026-04-02,137.74000549316406
2026-04-06,138.91000366210938
2026-04-07,138.08990478515625
2026-04-08,124.4800033569336
2026-04-09,126.97000122070312
2026-04-10,124.83000183105469
2026-04-13,128.47000122070312
2026-04-14,123.88999938964844
2026-04-15,122.63999938964844
2026-04-16,125.8499984741211
2026-04-17,116.12000274658203
2026-04-20,121.33999633789062
2026-04-21,128.24000549316406
