burst_id,ts_first,ts_last,duration_minutes,n_posts,anchor_bar_ts,anchored_to_next_session,anchor_price,pnl_total,pnl_per_post_mean,initiated_any,sample_post_text,min_offset_with_data,max_offset_with_data,max_abs_pct_pre,max_abs_pct_post
1,2026-02-01T18:51:11.880000+00:00,2026-02-01T18:52:43.974000+00:00,1.53,7,2026-02-02T18:45:00+00:00,True,74.79,-24909924.64,-3558560.66,True,"RT @realDonaldTrumpI am hearing that Bluffton City Councilman Blake Fiechter, a True America First Patriot, is considering a primary challenge against ""RINO"" S…",0,180,0.0,0.7488
2,2026-02-02T14:25:44.557000+00:00,2026-02-02T14:25:44.557000+00:00,0.0,1,2026-02-02T18:45:00+00:00,True,74.79,-3558560.66,-3558560.66,True,"Trump Says He Welcomes China, India Investment in Venezuela Oil: https://www.bloomberg.com/news/articles/2026-02-01/trump-says-he-welcomes-china-india-investme…",0,180,0.0,0.7488
3,2026-02-02T16:58:20.088000+00:00,2026-02-02T16:58:20.088000+00:00,0.0,1,2026-02-02T18:45:00+00:00,True,74.79,-3558560.66,-3558560.66,True,"It was an Honor to speak with Prime Minister Modi, of India, this morning. He is one of my greatest friends and, a Powerful and Respected Leader of his Country…",0,180,0.0,0.7488
4,2026-02-04T15:38:27.342000+00:00,2026-02-04T15:38:27.342000+00:00,0.0,1,2026-02-04T15:35:00+00:00,False,76.41,44825.98,44825.98,True,"I have just completed an excellent telephone conversation with President Xi, of China. It was a long and thorough call, where many important subjects were disc…",-180,180,0.5497,3.5859
5,2026-02-10T23:50:33.622000+00:00,2026-02-10T23:54:44.738000+00:00,4.19,7,2026-02-10T23:50:00+00:00,False,77.96,0.0,0.0,False,"Congressman Aaron Bean is a Tremendous Champion for Florida's 4th Congressional District! As a Member of the POWERFUL Ways & Means Committee, Aaron knows the A…",-180,5,0.744,0.1154
6,2026-02-17T01:01:35.883000+00:00,2026-02-17T01:03:14.276000+00:00,1.64,4,2026-02-17T09:00:00+00:00,True,76.62,0.0,0.0,True,"Jon Bonck is an incredible Candidate running to represent the fantastic people of Texas' 38th Congressional District. He is supported by many MAGA Patriots, in…",0,180,0.0,1.5531
7,2026-02-17T02:08:23.823000+00:00,2026-02-17T02:12:38.961000+00:00,4.25,19,2026-02-17T09:00:00+00:00,True,76.62,0.0,0.0,True,Congressman Nathaniel Moran is doing a fantastic job representing the Great People of Texas' 1st Congressional District! Nathaniel has an incredible Record of…,0,180,0.0,1.5531
8,2026-02-17T15:03:59.984000+00:00,2026-02-17T15:03:59.984000+00:00,0.0,1,2026-02-17T15:00:00+00:00,False,76.14,1597362.73,1597362.73,False,"RT @realDonaldTrumpIt is my Great Honor to endorse America First Patriot, Clay Fuller, who is running to represent the wonderful people of Georgia's 14th Congr…",-180,180,1.865,1.1558
9,2026-02-19T01:26:34.705000+00:00,2026-02-19T01:26:34.705000+00:00,0.0,1,2026-02-19T09:00:00+00:00,True,80.53,0.0,0.0,True,It is my Great Honor to nominate Justin Smith to serve as Judge on the United States Court of Appeals for the Eighth Circuit in Missouri. Justin is a very Smar…,0,180,0.0,0.6706
10,2026-03-03T22:04:29.988000+00:00,2026-03-03T22:04:29.988000+00:00,0.0,1,2026-03-03T22:00:00+00:00,False,91.2689,0.0,0.0,True,"It is my Great Honor to endorse Aaron Flint, who is running to represent the tremendous people of Montana's 1st Congressional District. Aaron is a MAGA Warrior…",-180,115,3.7131,0.7024
11,2026-03-10T00:30:40.041000+00:00,2026-03-10T00:30:40.041000+00:00,0.0,1,2026-03-10T08:00:00+00:00,True,104.53,0.0,0.0,True,"If Iran does anything that stops the flow of Oil within the Strait of Hormuz, they will be hit by the United States of America TWENTY TIMES HARDER than they ha…",0,180,0.0,3.2335
12,2026-03-21T16:52:28.021000+00:00,2026-03-21T16:52:28.021000+00:00,0.0,1,2026-03-23T08:00:00+00:00,True,125.48,0.0,0.0,True,"Highly Respected America First Congresswoman, Julia Letlow, of the wonderful State of Louisiana, is a Great Star, has been from the very beginning, and only ge…",0,180,0.0,2.5661
13,2026-03-23T14:29:33.266000+00:00,2026-03-23T14:29:33.266000+00:00,0.0,1,2026-03-23T14:25:00+00:00,False,111.46,-31925405.59,-31925405.59,True,"RT @realDonaldTrumpI AM PLEASED TO REPORT THAT THE UNITED STATES OF AMERICA, AND THE COUNTRY OF IRAN, HAVE HAD, OVER THE LAST TWO DAYS, VERY GOOD AND PRODUCTIV…",-180,180,3.7518,4.0734
14,2026-03-24T19:45:10.326000+00:00,2026-03-24T19:57:58.291000+00:00,12.8,7,2026-03-24T19:45:00+00:00,False,114.135,9273343.81,1324763.4,True,"Bluffton City Councilman Blake Fiechter, a True America First Patriot, is running against ""RINO"" State Senator Travis Holdman, in Indiana's 19th Senate Distric…",-180,180,1.7479,3.9558
15,2026-04-07T20:13:09.030000+00:00,2026-04-07T20:27:06.893000+00:00,13.96,28,2026-04-07T20:10:00+00:00,False,137.76,212918723.61,7604240.13,True,"State Representative Jim Pressel is a Tremendous Champion for the incredible people of Indiana's 20th State House District! A successful Businessman, Jim knows…",-180,180,3.35,12.3621
