minute_offset,median,p25,p75,p10,p90,n_bursts
-180,0.9331,0.4684,1.5785,0.3183,2.3182,7
-175,0.6639,0.3983,1.4057,0.2287,2.3024,7
-170,1.1521,0.5384,1.6094,0.3138,2.3723,7
-165,1.4062,0.5944,1.8558,0.3029,2.5058,7
-160,1.6559,0.6314,1.8959,0.2374,2.2333,7
-155,1.7479,0.4816,2.1316,0.2999,2.4344,7
-150,1.45,0.3983,2.1166,0.2577,2.9186,7
-145,1.7731,0.9783,2.3747,0.284,2.9903,7
-140,1.7993,0.8096,2.8742,0.127,3.5846,7
-135,1.668,0.801,2.7253,0.2191,3.1032,7
-130,1.5366,0.7102,2.3174,0.2023,2.3858,7
-125,1.3887,0.7746,2.0656,0.1174,2.2998,7
-120,1.4578,0.67,1.9718,0.0909,2.3347,7
-115,1.247,0.6172,1.9807,0.1623,2.2342,7
-110,1.2486,0.1487,1.9994,0.1015,2.1086,7
-105,0.4425,0.1986,1.464,0.1461,1.773,7
-100,0.9339,0.6544,1.5516,0.4986,2.041,6
-95,0.6878,0.1767,1.5934,0.0399,2.0386,7
-90,0.3023,0.1884,1.3826,0.0925,1.945,7
-85,0.7316,0.3244,1.1377,0.1769,1.7976,7
-80,1.2561,0.7491,1.6642,0.3905,2.2794,5
-75,1.2607,0.835,1.4999,0.7125,2.2161,5
-70,0.744,0.5388,1.6313,0.2943,2.1769,5
-65,0.3614,0.2895,0.9864,0.1592,2.0229,6
-60,0.4112,0.3055,0.8696,0.1506,1.87,6
-55,0.486,0.2131,0.7002,0.11,1.0476,6
-50,0.4042,0.2194,0.4834,0.1657,0.8669,7
-45,0.2719,0.1269,0.4909,0.0808,0.8836,6
-40,0.4442,0.1868,0.752,0.1042,1.2068,6
-35,0.3062,0.142,0.439,0.1104,0.9784,6
-30,0.3678,0.1072,0.3956,0.0704,0.7909,7
-25,0.4064,0.1676,0.4412,0.0787,0.7985,6
-20,0.1851,0.1365,0.3553,0.092,0.6218,7
-15,0.1182,0.0591,0.3571,0.0325,0.4965,7
-10,0.2546,0.197,0.5412,0.1486,0.7729,7
-5,0.1813,0.0589,0.2556,0.013,0.6916,7
0,0.0,0.0,0.0,0.0,0.0,15
5,0.1614,0.1308,0.3075,0.0698,0.3586,15
10,0.1655,0.0955,0.2426,0.054,0.3952,14
15,0.3664,0.2246,0.4751,0.0766,0.6985,14
20,0.2942,0.1862,0.4927,0.1223,0.5888,14
25,0.2112,0.191,0.3608,0.0907,0.8631,14
30,0.2039,0.0669,0.597,0.0379,0.9771,14
35,0.366,0.2385,1.0766,0.021,2.8287,14
40,0.5883,0.267,1.0844,0.1103,2.6979,14
45,0.5034,0.187,1.0747,0.1175,2.2869,14
50,0.4406,0.2407,1.2199,0.1435,2.739,14
55,0.3968,0.216,1.2901,0.2139,2.8277,14
60,0.5526,0.3208,1.4158,0.2273,2.5324,14
65,0.5612,0.3192,1.5359,0.2942,2.5177,14
70,0.5351,0.361,1.108,0.2523,2.1292,14
75,0.5396,0.488,0.7553,0.4568,2.0427,14
80,0.6029,0.5602,0.9328,0.5221,1.8554,14
85,0.6491,0.595,0.9946,0.4437,1.6605,14
90,0.6265,0.6023,1.132,0.6017,1.4731,14
95,0.745,0.4145,1.0962,0.409,1.4532,14
100,0.7384,0.5482,1.0321,0.3345,1.402,14
105,0.6948,0.6141,1.1638,0.3407,1.5573,14
110,0.6792,0.5116,1.7587,0.2922,2.9152,14
115,0.7688,0.5883,1.9144,0.506,3.2577,14
120,0.9005,0.6284,2.3955,0.6284,3.4012,13
125,1.2138,0.6685,1.7698,0.6685,2.812,13
130,1.2399,0.722,2.363,0.722,2.858,13
135,1.1616,0.7086,2.5352,0.5194,2.9315,13
140,1.1616,0.5764,1.789,0.5764,3.3478,13
145,1.1355,0.6284,1.7507,0.3542,3.1845,13
150,1.3573,0.5752,2.7447,0.273,2.982,13
155,1.5401,0.6685,2.8716,0.5131,3.1888,13
160,1.5009,0.6953,2.4586,0.1887,2.7794,13
165,1.5531,0.6151,2.5661,0.6151,3.026,13
170,1.4879,0.5883,2.2872,0.2828,3.2074,13
175,1.1224,0.6084,2.1597,0.3005,3.2559,13
180,0.7488,0.6041,2.1039,0.3148,3.235,13
