minute_offset,real_median,real_p25,real_p75,real_n_bursts,shifted_median,shifted_p25,shifted_p75,shifted_n_bursts,gap_median
-60,0.4112,0.3055,0.8696,6,0.3646,0.1962,0.5011,9,0.0466
-55,0.486,0.2131,0.7002,6,0.1769,0.0916,0.4699,10,0.3091
-50,0.4042,0.2194,0.4834,7,0.161,0.0916,0.5479,10,0.2432
-45,0.2719,0.1269,0.4909,6,0.0881,0.0719,0.579,9,0.1838
-40,0.4442,0.1868,0.752,6,0.3793,0.1891,0.3793,9,0.0649
-35,0.3062,0.142,0.439,6,0.1831,0.1831,0.2818,9,0.1231
-30,0.3678,0.1072,0.3956,7,0.192,0.1831,0.2912,10,0.1758
-25,0.4064,0.1676,0.4412,6,0.2707,0.1498,0.3139,10,0.1357
-20,0.1851,0.1365,0.3553,7,0.484,0.195,0.484,9,-0.2989
-15,0.1182,0.0591,0.3571,7,0.2566,0.1526,0.3008,10,-0.1384
-10,0.2546,0.197,0.5412,7,0.14,0.0131,0.2943,9,0.1146
-5,0.1813,0.0589,0.2556,7,0.1177,0.0851,0.1292,10,0.0636
0,0.0,0.0,0.0,15,0.0,0.0,0.0,15,0.0
5,0.1614,0.1308,0.3075,15,0.0751,0.0263,0.1059,14,0.0863
10,0.1655,0.0955,0.2426,14,0.1024,0.0658,0.1846,14,0.0631
15,0.3664,0.2246,0.4751,14,0.1184,0.0963,0.273,14,0.248
20,0.2942,0.1862,0.4927,14,0.1728,0.0563,0.3532,14,0.1214
25,0.2112,0.191,0.3608,14,0.2093,0.1159,0.4315,14,0.0019
30,0.2039,0.0669,0.597,14,0.099,0.0523,0.3683,14,0.1049
35,0.366,0.2385,1.0766,14,0.0785,0.0658,0.2633,14,0.2875
40,0.5883,0.267,1.0844,14,0.0754,0.0278,0.2161,14,0.5129
45,0.5034,0.187,1.0747,14,0.1256,0.1132,0.3121,14,0.3778
50,0.4406,0.2407,1.2199,14,0.2684,0.1532,0.3532,14,0.1722
55,0.3968,0.216,1.2901,14,0.3924,0.1823,0.4692,14,0.0044
60,0.5526,0.3208,1.4158,14,0.2673,0.1937,0.4778,14,0.2853
