id,label,post_count
energy,energy,156
military,military,156
american,american,152
dominance,dominance,151
complete,complete,150
total,total,150
taxes,taxes,149
amendment,amendment,148
endorsement,endorsement,148
second,second,148
siege,siege,148
cut,cut,147
regulations,regulations,145
veterans,veterans,145
promote,promote,136
economy,economy,133
grow,grow,132
district,district,131
tirelessly,tirelessly,113
america,america,112
border,border,110
protect,protect,110
secure,secure,110
keep,keep,107
stop,stop,106
champion,champion,104
election,election,104
crime,crime,99
migrant,migrant,99
state,state,94
